mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34.18344697952271,0.1781876788458718,0.18087162971496581,0.011242676200901315,100,2,1,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20}",-250.07998914741128,-246.08691477551565,-252.3620390673304,-250.4087581541391,-245.0150225392353,-248.79054473672636,2.778526089025683,5
37.51180462837219,0.3562186070190621,0.22513632774353026,0.008621180243914547,100,2,1,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30}",-253.92044849995003,-250.61260726758422,-255.58999778864134,-253.89040844319652,-248.70862716191687,-252.5444178322578,2.507025748505542,7
20.514292430877685,0.14207070925595303,0.06254324913024903,0.003901433386675759,100,2,1,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10}",-265.752667764803,-263.7323291545954,-270.33813275155774,-268.11732570487607,-259.80001696478996,-265.5480944681244,3.6311062996427412,10
36.21786451339722,0.6830632682299036,0.17687487602233887,0.002601767303355256,100,5,1,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 30}",-252.3183625430791,-248.54893250698825,-253.55140351222045,-251.91193003580332,-246.53149095505879,-250.57242391063,2.6130654200146095,6
66.37244119644166,0.12727179637061722,0.29508190155029296,0.006313279986588437,200,5,1,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}",-248.94699203066918,-244.88322184109973,-250.6122846571592,-248.84736389993566,-242.87130767028648,-247.23223401983006,2.8812954974532836,2
68.69648571014405,0.169872282509605,0.3641987323760986,0.027753778714446037,200,2,1,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20}",-249.3595858436353,-245.07532262583487,-251.0004928233522,-249.61884811836688,-243.68336107890138,-247.74752209801818,2.8404395414334243,3
64.68957529067993,0.2734972134421142,0.30338373184204104,0.003161647817920354,200,2,2,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 20}",-248.25783142110788,-243.85001436188134,-250.07671049475465,-247.4856035098036,-241.79446528953707,-246.2929250154169,3.026692058808282,1
40.79962244033813,0.2058736346882543,0.12192339897155761,0.0036684710577945087,200,2,1,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10}",-265.59232295492285,-263.3351737866876,-270.35700541082025,-267.6508982965384,-259.4011576236029,-265.26731161451437,3.737299025046742,9
68.18398385047912,0.14766246427031338,0.3501103401184082,0.005104308676263647,200,2,2,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30}",-250.19594447733684,-245.8823467558166,-251.57472907682512,-249.13875791997273,-243.9234986974351,-248.14305538547723,2.8248052547525955,4
40.39387607574463,0.16578597848846865,0.11902813911437989,0.0008968059173136303,200,2,2,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10}",-265.48015062115326,-263.19387630418424,-270.0718620286617,-267.48707155577074,-259.2279380567331,-265.09217971330065,3.7061071318588406,8
